SigaaID,Matricula,CursoId,Periodo
190,833253633,21,10
191,458157976,32,9
192,97798231,36,12
193,822671208,14,9
194,576589301,41,8
195,653890004,40,12
196,272925271,7,3
197,271177832,4,4
198,219657720,43,3
199,267356508,14,7
200,23453066,30,12
201,409713610,26,7
202,690732974,22,3
203,126153983,6,12
204,272541104,19,11
205,239856694,37,12
206,909685108,8,1
207,102692944,14,8
208,409019235,36,11
209,916198045,42,2
210,116296435,35,3
211,458600101,37,11
212,973679381,9,2
213,710566383,18,4
214,445782618,40,3
215,677291511,26,3
216,607888371,14,4
217,440250717,30,5
218,345700198,44,6
219,172176376,12,1
220,328268799,8,10
221,723817395,16,3
222,908971418,13,3
223,792850911,39,12
224,695940666,4,4
225,470548313,9,10
226,613382530,9,5
227,60329579,36,12
228,755948384,11,9
229,467394282,4,9
230,289123815,1,7
231,793802473,36,12
232,866792369,1,2
233,48155563,21,11
234,997670347,16,1
235,984325905,29,7
236,475443886,21,6
237,742370590,31,12
238,245650534,28,4
239,969374627,5,8
240,723703255,44,3
241,635269083,41,1
242,515033771,39,10
243,164526074,21,10
244,590012116,1,12
245,358654210,22,3
246,296010304,4,3
247,176191280,12,12
248,104761838,28,7
249,909093156,23,6
250,930292228,42,2
251,82829322,5,11
252,239098414,24,7
253,630035692,42,5
254,799576677,13,10
255,742597339,32,3
256,690401154,13,4
257,82231673,10,10
258,518234537,5,4
259,793227386,18,1
260,601791954,32,7
261,747092822,15,8
262,656083288,40,12
263,927440451,43,7
264,647176317,38,10
265,402297884,25,1
266,779535846,32,4
267,342636557,26,10
268,362102313,35,7
269,223926041,7,12
270,151495268,44,1
271,12087781,4,4
272,675993954,18,9
273,817401565,18,2
274,350382362,20,6
275,784826792,1,7
276,250850634,14,2
277,883543216,21,9
278,436110011,4,11
279,833873971,36,7
280,100005095,27,11
281,872367648,21,6
282,322283559,1,7
283,752772569,14,6
284,143043466,12,8
285,16065883,29,4
286,472875853,38,1
287,187464157,21,5
288,495876191,14,9
289,810632032,41,8
290,71672626,36,3
291,122895391,32,4
292,507060363,10,11
293,386930086,1,10
294,557325147,6,6
295,232199016,5,7
296,912448445,39,5
297,18209217,41,11
298,430804705,25,8
299,559438188,8,8
300,258808986,24,1
301,409330637,2,4
302,898215114,44,6
303,699290583,3,11
304,184761277,11,11
305,297316810,31,9
306,627569480,35,10
307,544413632,21,9
308,607209666,5,5
309,42689461,38,11
310,651650967,32,11
311,582691754,5,8
312,647038128,19,12
313,303735115,15,4
314,242365150,29,6
315,86697069,26,1
316,538124950,9,1
317,742175695,22,5
318,101859269,11,4
319,896798877,21,7
320,590891601,3,11
321,664319024,14,3
322,720657810,20,11
323,410840881,39,7
324,284823420,11,3
325,374757660,25,3
326,896755007,25,1
327,977509833,36,1
328,85348645,44,2
329,134345339,10,11
330,154611009,11,5
331,359279047,31,7
332,120871838,19,1
333,922040444,31,11
334,337878931,1,8
335,443668229,33,7
336,937146416,13,9
337,944945964,14,11
338,93000590,4,8
339,462394800,42,11
340,715113365,23,2
341,710968046,11,10
342,110378137,26,10
343,50767281,32,10
344,815394051,43,9
345,911332747,20,8
346,125222779,31,5
347,836702396,27,2
348,620069268,20,11
349,922246399,13,9
350,893844871,2,9
351,165303686,23,8
352,407594828,10,1
353,372323858,13,9
354,229362055,6,8
355,478407953,7,8
356,7290235,3,9
357,968153155,24,3
358,21430191,35,4
359,999012818,44,10
360,312193269,11,12
361,462451731,41,11
362,525171976,2,4
363,89359706,40,7
364,291458675,25,7
365,275168789,42,4
366,529625254,29,9
367,700394656,23,8
368,339880439,2,7
369,373320951,7,10
370,920436537,3,1
371,344718229,15,11
372,281993570,39,2
373,84171158,23,1
374,488404351,23,8
375,427514712,2,4
376,70622412,29,6
377,210134634,38,7
378,602324549,23,3
379,116571611,19,1
380,410569925,26,11
381,121449325,3,5
382,572634821,2,6
383,710423382,41,11
384,854344543,27,9
385,849519999,12,8
386,74343115,38,12
387,395603085,44,5
388,1730797,42,5
389,71141426,2,8
390,712602174,36,9
391,744197320,4,11
392,702200832,3,7
393,187882483,8,10
394,129973430,18,5
395,256530900,25,8
396,441084249,2,3
397,487796560,28,9
398,293685481,24,4
399,501400623,42,2
400,968024196,38,10
401,629530997,41,11
402,165626621,10,12
403,176974234,43,5
404,354716599,44,1
405,347153634,11,3
406,174848412,21,10
407,60956688,26,3
408,722078519,44,5
409,515376575,20,3
410,828559484,19,6
411,883370627,5,1
412,271772751,7,2
413,778288355,32,8
414,733748556,18,4
415,238268028,29,9
416,931772738,16,11
417,602230722,36,6
418,479833034,39,7
419,220475056,6,2
420,868276968,26,11
421,96633718,21,9
422,590128945,37,11
423,261503879,21,4
424,502101750,23,6
425,765204977,32,1
426,187758397,31,8
427,997647651,31,10
428,860471712,11,4
429,617156906,24,10
430,12922107,12,5
431,429214589,39,4
432,250406050,1,5
433,760767639,21,1
434,442350967,40,10
435,679789004,17,7
436,963100713,15,3
437,631757995,15,4
438,430473540,41,12
439,463177698,34,2
440,812922707,39,12
441,774261332,29,6
442,601016032,23,9
443,691072149,9,2
444,871960047,23,10
445,733965742,41,3
446,796536210,40,1
447,101112198,29,3
448,478512369,9,11
449,944760306,10,6
450,719574304,41,11
451,423719123,35,7
452,649636923,16,2
453,605802260,8,12
454,263013430,4,5
455,360826946,3,8
456,345942154,2,7
457,361701550,29,9
458,16247082,22,6
459,829375627,5,12
460,557773887,29,10
461,723128667,31,3
462,752849333,34,4
463,730567878,28,6
464,490557254,40,1
465,113113271,4,2
466,689059057,18,1
467,92633829,40,2
468,696179401,34,2
469,681488514,34,3
470,226920732,15,12
471,608742964,41,9
472,228079098,17,8
473,532361649,21,9
474,232142725,30,7
475,686631686,31,8
476,575807961,7,5
477,55656932,39,3
478,496268839,26,6
479,74647994,40,7
480,215138790,39,12
481,332164999,1,8
482,521855084,7,3
483,630456475,15,9
484,89061926,1,3
485,148035652,36,3
486,987137779,29,2
487,550038003,35,7
488,333562897,44,11
489,317028611,31,10
490,440839022,38,8
491,77821286,22,9
492,500271246,10,3
493,169508970,12,9
494,784011159,26,4
495,394879829,42,2
496,743517781,37,4
497,398724008,44,6
498,419271760,15,9
499,948031677,15,9
500,181050224,31,2
501,691854941,8,5
502,368681422,11,1
503,378264579,12,1
504,872119843,12,1
505,448189829,28,3
506,660331373,1,2
507,433733127,34,6
508,812989821,44,5
509,791524776,30,3
510,188583076,37,10
511,474026903,15,3
512,262103550,15,11
513,862068989,34,11
514,261278492,7,8
515,608335282,42,12
516,727005906,38,8
517,74063148,26,3
518,516817115,34,11
519,987743377,17,7
520,183907048,14,11
521,120515255,43,3
522,815496935,22,8
523,195807060,1,2
524,247487585,41,10
525,38628629,34,11
526,216750245,4,5
527,203042844,40,12
528,317358762,15,9
529,640859716,31,5
530,649848739,8,8
531,794437999,16,10
532,945614655,40,3
533,808753381,22,1
534,168193630,31,3
535,478512734,7,5
536,691917936,13,1
537,388551943,44,8
538,647058796,4,12
539,638771873,14,3
540,438033751,43,3
541,881526042,31,8
542,269307963,20,4
543,947650780,16,12
544,449800766,24,3
545,972339849,39,7
546,259455477,36,12
547,422131957,42,5
548,548130061,10,3
549,760570322,14,5
550,736298897,4,10
551,146085040,8,3
552,4619227,30,12
553,291583430,42,10
554,286803938,13,2
555,983402031,34,9
556,909192219,30,10
557,585201239,41,4
558,571438809,26,9
559,786792965,11,11
560,259900413,18,10
561,598073718,28,10
562,306981160,2,4
563,837536819,43,11
564,220992907,17,11
565,282824220,2,5
566,101734761,17,4
567,738671294,25,10
568,122958637,28,3
569,850281663,37,2
570,927775812,12,1
571,767666531,14,3
572,484591873,38,11
573,597186247,13,7
574,898012879,32,4
575,919150712,30,9
576,551921904,8,8
577,499455668,19,6
578,518623231,38,10
579,759121062,20,11
580,20479262,16,5
581,529974686,2,9
582,878070605,18,9
583,696874961,7,11
584,933683015,24,11
585,17090066,10,7
586,811476894,24,1
587,602486449,7,8
588,948423034,8,12
589,240314363,37,2
590,558744295,5,9
591,83142407,4,6
592,815273266,30,9
593,687518001,2,1
594,632189063,7,7
595,697866606,21,10
596,821715676,10,6
597,311274398,35,2
598,710843206,25,7
599,118940785,42,7
600,634401832,23,8
601,742420394,18,2
602,146478067,38,7
603,674392530,36,11
604,482020572,15,4
605,116997474,28,3
606,968935033,3,3
607,501060652,38,2
608,655145274,22,1
609,276330453,37,11
610,205272520,26,11
611,895645427,9,10
612,96514698,37,12
613,548737205,5,7
614,947915675,43,7
615,156343308,16,7
616,445734726,37,5
617,123860907,22,8
618,883121315,30,2
619,176222789,30,3
620,543110478,35,7
621,887043429,5,3
622,115950268,26,6
623,862507194,8,7
624,700487256,40,6
625,191712680,29,8
626,686473284,6,3
627,492197629,7,8
628,388100927,43,7
629,177283214,26,3
630,14818084,29,9
631,493509466,23,9
632,221499596,34,6
633,160104923,22,2
634,332842169,4,4
635,231529416,32,9
636,16808393,39,3
637,247796880,11,1
638,906868613,17,3
639,440143235,19,9
640,616245947,5,7
641,812354335,44,1
642,818157557,2,7
643,573806173,10,6
644,888839093,38,10
645,831931128,10,12
646,865990461,23,7
647,15837811,22,9
648,908674081,28,5
649,595014700,41,4
650,605259395,34,12
651,33881206,43,12
652,342696237,17,8
653,128089144,34,3
654,175763800,23,9
655,396887116,42,7
656,480431267,36,12
657,997438844,27,9
658,78752795,8,7
659,38151324,14,7
660,808193598,5,6
661,145721245,31,2
662,220933039,26,9
663,146098148,18,9
664,962035084,29,10
665,467346248,8,5
666,270518631,26,10
667,422905463,30,2
668,235332148,12,5
669,723291855,43,7
670,39178817,35,11
671,965937677,38,1
672,835106368,43,4
673,38658852,40,3
674,576859998,25,7
675,810970357,20,6
676,194470812,18,6
677,168938093,8,7
678,909022023,32,7
679,646273251,3,3
680,734478884,14,2
681,673776462,21,2
682,549454665,1,11
683,394577852,34,10
684,371574947,9,12
685,573821779,13,5
686,827897429,22,11
687,102922138,27,4
688,861913283,20,5
689,620859271,41,1
690,458869544,8,4
691,886667904,29,11
692,346308457,6,3
693,245209364,26,10
694,132617927,2,2
695,417428929,10,2
696,552618194,27,10
697,270378476,32,10
698,915866408,7,1
699,477898863,13,9
700,633050391,39,5
701,935153130,23,3
702,202302568,44,12
703,943487215,15,11
704,546391464,29,12
705,753909573,35,2
706,156854304,1,11
707,141492860,39,2
708,921319951,24,4
709,834433103,16,12
710,227988412,1,5
711,917698385,6,1
712,740978403,11,7
713,565481436,23,10
714,674886337,32,4
715,774321880,6,6
716,989159655,18,5
717,934217130,33,9
718,512377295,17,7
719,69961522,37,8
720,222977538,32,6
721,599570706,30,11
722,111656748,20,8
723,879081452,6,8
724,227283760,16,9
725,784510039,37,11
726,347472093,1,12
727,425982116,18,7
728,232507661,4,2
729,771746931,20,3
730,405871970,43,11
731,600298980,2,12
732,908472348,7,10
733,116802738,39,7
734,680463967,14,1
735,559773456,6,3
736,49478076,7,6
737,741540745,39,7
738,101441913,28,8
739,116113857,44,9
740,312455426,24,11
741,714843774,40,9
742,500800492,8,4
743,86267409,30,12
744,274578673,5,12
745,748531576,34,5
746,150845176,13,5
747,270578375,36,5
748,798079452,26,11
749,626701095,36,5
750,932647699,32,3
751,401857286,36,8
752,359031,29,9
753,474483921,15,4
754,2313578,23,7
755,249986237,28,1
756,665701008,44,5
757,294301098,35,5
758,106583906,6,8
759,264304374,34,8
760,353401668,41,12
761,260583536,15,9
762,774708407,39,9
763,648797526,35,1
764,358358204,13,5
765,859469290,6,9
766,821086137,15,12
767,216697920,37,2
768,695871198,31,10
769,610436791,19,8
770,6275687,8,10
771,753205222,1,8
772,985258691,38,11
773,752585787,20,9
774,469329573,37,8
775,602384530,17,5
776,823774081,12,4
777,958288965,8,1
778,570835267,12,4
779,171013290,7,4
780,145575159,32,2
781,928438980,38,3
782,677086208,35,12
783,548057852,28,8
784,593847429,23,11
785,613370513,21,6
786,853288097,7,7
787,245855373,39,10
788,400300760,26,6
789,578344190,29,7
790,243608224,29,9
791,403870894,35,5
792,871019653,30,3
793,405595438,35,12
794,783152151,29,6
795,232395732,18,2
796,454330143,37,9
797,529112072,8,10
798,210540106,10,3
799,608120669,41,10
800,964561733,24,4
801,43679895,25,6
802,376049346,27,2
803,124048303,32,7
804,301815671,7,8
805,983655208,3,4
806,832655629,33,12
807,869259646,19,4
808,635148756,19,9
809,641041472,16,12
810,486041995,35,5
811,94410083,19,9
812,361453439,13,3
813,748455964,14,12
814,331129660,38,8
815,153254083,13,9
816,893997690,38,6
817,709961169,20,11
818,805668831,37,7
819,210806971,34,6
820,327546878,27,4
821,110278783,40,8
822,657950572,29,5
823,232874830,25,2
824,499355054,26,10
825,182079404,15,11
826,431466345,43,10
827,985618992,2,2
828,480606334,5,5
829,579726231,12,5
830,343013569,39,7
831,908171253,23,3
832,101446231,14,8
833,444320696,32,11
834,47389896,22,3
835,622573862,3,8
836,140675985,39,10
837,390984942,1,11
838,149901633,4,3
839,545480937,9,4
840,258668409,3,7
841,8474934,7,2
842,141901102,30,5
843,821069841,18,9
844,41056284,22,11
845,80065801,35,9
846,560951752,5,7
847,924143707,44,8
848,874418274,43,3
849,263648005,21,2
850,432311865,6,5
851,227751628,41,1
852,174660076,28,9
853,191546222,39,12
854,924132348,36,3
855,689269304,8,11
856,139914636,12,4
857,942772413,4,3
858,997505090,44,6
859,20413111,35,9
860,90661808,13,8
861,839544065,40,11
862,283629960,3,2
863,978893767,43,3
864,854470530,15,7
865,498660373,2,8
866,377125020,40,10
867,464507124,16,4
868,983564786,25,1
869,690358228,20,3
870,205941166,2,5
871,704710041,37,3
872,483415473,8,8
873,600435765,10,10
874,818824806,21,6
875,14841749,20,2
876,714718425,28,4
877,977730115,9,9
878,661419272,16,7
879,123243912,32,9
880,505778035,43,1
881,4160917,22,1
882,425294101,13,4
883,974874091,25,6
884,18586778,33,6
885,397253959,1,4
886,702639424,6,9
887,980477635,20,3
888,766218961,6,12
889,450066183,44,10
890,731178728,37,4
891,970529957,36,3
892,804606379,43,4
893,370751461,39,9
894,690835271,12,1
895,6864635,33,2
896,37520580,20,9
897,822083120,28,11
898,40133293,43,11
899,283559236,44,6
900,147136939,23,2
901,69787575,41,9
902,226805308,16,7
903,321983281,43,11
904,500959999,25,1
905,945839497,6,6
906,673591767,17,4
907,867566427,40,2
908,177573130,1,7
909,685377987,15,1
910,544230004,26,1
911,979781789,32,9
912,932859812,12,9
913,734914435,6,10
914,205535648,32,10
915,594767095,41,2
916,643318864,29,7
917,31780319,19,6
918,419227114,23,4
919,708498253,25,5
920,944233856,9,9
921,243498100,4,11
922,413335232,31,5
923,478934004,5,5
924,917347050,42,12
925,266365936,26,7
926,236134304,38,11
927,368562702,22,9
928,189941610,24,4
929,573543368,9,1
930,764161759,41,9
931,504622656,33,8
932,252428642,36,7
933,503462255,15,9
934,1457864,6,2
935,911526864,42,2
936,117649654,44,6
937,747060635,15,6
938,491826354,39,3
939,293306298,28,12
940,270151901,43,6
941,512579613,1,6
942,998530526,41,6
943,463415318,42,8
944,296587172,42,6
945,757394977,38,10
946,12982520,22,2
947,901525399,12,10
948,571229253,23,2
949,929738454,39,12
950,337176901,16,5
951,24950237,8,6
952,237974741,26,6
953,854255258,37,5
954,795619148,34,4
955,347974656,36,7
956,751367560,15,11
957,112978967,42,11
958,640975540,43,8
959,394094533,27,8
960,429605495,27,1
961,398447521,1,3
962,272068507,32,12
963,713615428,36,6
964,138342339,9,8
965,988938799,32,3
966,803461090,3,1
967,81910255,33,12
968,71345141,18,1
969,265552684,23,10
970,43320729,32,9
971,65804565,12,3
972,926317337,1,6
973,502756124,15,2
974,179744028,43,7
975,529840855,20,2
976,922479506,9,6
977,133566069,17,8
978,646175656,31,5
979,725811480,24,6
980,586930784,6,6
981,372324855,35,8
982,708412682,28,6
983,62466882,43,11
984,64224532,31,8
985,803521331,10,1
986,89402277,10,11
987,605674162,6,1
988,212903058,27,8
989,29757295,41,11
990,422113279,26,11
991,122800205,40,5
992,212963388,37,8
993,108552535,27,9
994,383819340,21,2
995,635809524,40,8
996,724200322,4,3
997,393364583,21,4
998,663067366,19,9
999,989907134,5,3
1000,972067662,6,5
1001,925326743,41,6
1002,485562512,11,6
1003,951102890,16,8
1004,407773301,44,6
1005,448730963,19,9
1006,859387114,35,8
1007,564848578,13,5
1008,531558209,3,1
1009,736201320,35,1
1010,350266139,41,4
1011,954745976,5,3
1012,424337039,28,3
1013,848052518,41,9
1014,73422604,28,8
1015,402858700,13,4
1016,475800987,38,8
1017,798569853,29,7
1018,450838292,35,1
1019,144947097,35,5
1020,149714529,26,6
1021,559813638,21,2
1022,797016780,5,5
1023,526941170,23,5
1024,464082029,11,7
1025,750008042,10,11
1026,42354924,12,11
1027,348321564,40,11
1028,733049511,25,1
1029,949493044,34,1
1030,110733986,19,8
1031,720978986,12,10
1032,582410397,15,1
1033,453054826,3,5
1034,941898992,4,2
1035,612877734,30,12
1036,458542079,34,8
1037,894613919,37,11
1038,849450475,5,4
1039,410852445,44,3
1040,408468964,31,12
1041,313370307,14,2
1042,332488899,13,9
1043,342037418,40,9
1044,993856030,9,1
1045,891769872,2,11
1046,896693985,36,4
1047,327245823,30,12
1048,348248677,33,10
1049,712163567,30,2
1050,340753018,36,4
1051,282422917,18,5
1052,562458382,14,4
1053,407928778,36,12
1054,843473746,6,4
1055,79389941,28,9
1056,648869699,44,9
1057,788572314,7,3
1058,596524892,8,1
1059,891612878,1,3
1060,496530001,6,11
1061,581342169,14,6
1062,986198319,14,3
1063,219939074,33,5
1064,780213968,28,7
1065,994860829,26,8
1066,954397437,15,2
1067,236864788,34,10
1068,9267363,17,3
1069,431274606,7,12
1070,81363034,15,8
1071,550342890,5,8
1072,605069072,37,7
1073,716206910,27,1
1074,698827071,20,8
1075,113424593,44,9
1076,438007134,4,9
1077,286662549,8,11
1078,52964605,13,2
1079,123407183,10,9
1080,755243863,1,10
1081,921889949,32,4
1082,381320573,20,10
1083,796961137,7,8
1084,363993253,23,9
1085,519223038,32,4
1086,271431154,38,7
1087,163460294,3,2
1088,64000807,26,2
1089,27598234,9,3
1090,584775060,5,4
1091,111937945,3,4
1092,8918762,42,5
1093,17831857,17,7
1094,369499726,28,1
1095,184270482,30,5
1096,208066333,31,6
1097,794101214,6,1
1098,975995346,10,10
1099,904484870,36,3
1100,625838247,17,3
1101,626582649,3,2
1102,771323345,18,1
1103,50351822,42,9
1104,809563430,8,4
1105,72378658,41,12
1106,863740312,27,12
1107,932638661,37,5
1108,77251884,34,1
1109,881707653,4,4
1110,914545543,10,5
1111,60843936,24,5
1112,144762419,33,2
1113,643374447,34,9
1114,657984446,19,6
1115,223913860,1,1
1116,884479840,2,2
1117,346782537,25,2
1118,670046759,32,9
1119,674893646,15,1
1120,443706089,6,5
1121,258939894,35,10
1122,179037177,9,9
1123,997591148,18,3
1124,82974654,25,7
1125,310930655,4,7
1126,745700375,13,3
1127,345729354,36,11
1128,906074167,16,8
1129,515103992,21,6
1130,772215258,22,3
1131,811779482,11,8
1132,167256568,4,5
1133,94487568,15,6
1134,757129193,23,9
1135,966677770,44,11
1136,397392273,28,6
1137,356885050,29,12
1138,564818562,18,10
1139,183884804,27,6
1140,430831600,2,3
1141,699543576,17,2
1142,795065282,43,4
1143,784055629,30,5
1144,705529558,2,10
1145,733013161,4,6
1146,370909671,37,8
1147,532321755,18,9
1148,801259241,28,9
1149,702250808,24,5
1150,931381291,19,3
1151,866579078,33,8
1152,925821735,1,2
1153,512330307,4,6
1154,601073892,5,10
1155,161662471,42,3
1156,455840876,33,6
1157,809326276,27,7
1158,756456979,32,11
1159,999235337,44,4
1160,402402085,35,3
1161,34986132,44,10
1162,173844336,32,11
1163,494064901,36,10
1164,900209210,13,3
1165,277280689,30,10
1166,936142595,4,4
1167,930536257,24,11
1168,927847334,14,2
1169,261468882,18,2
1170,552908603,14,1
1171,114152418,27,7
1172,796924680,30,3
1173,761949060,19,11
1174,874124480,16,12
1175,186833963,20,1
1176,125628340,43,3
1177,38271336,11,10
1178,366661800,41,1
1179,234291262,1,12
1180,699760091,39,5
1181,783838451,1,11
1182,92361750,13,5
1183,922214118,43,8
1184,596206889,17,4
1185,208089745,42,6
1186,905626532,13,12
1187,426291029,29,8
1188,240578638,4,12
1189,984078129,14,4
1190,736710298,33,12
1191,215527641,32,3
1192,268118479,38,8
1193,174521924,2,2
1194,842674042,22,5
1195,191624715,17,10
1196,448076223,3,11
1197,85713076,21,8
1198,555366149,32,2
1199,989865638,8,7
1200,893117588,29,8
1201,601740802,35,10
1202,729954540,41,4
1203,263662061,11,1
1204,467619923,15,7
1205,340573556,30,10
1206,717422368,9,1
1207,273521568,31,1
1208,353835566,8,11
1209,518722645,41,8
1210,640631116,7,4
1211,116448142,17,9
1212,864227485,6,11
1213,616956124,32,6
1214,326556490,22,5
1215,503448816,15,2
1216,61401855,16,7
1217,97156950,14,2
1218,72341911,11,8
1219,413345515,44,10
1220,306053199,38,4
1221,65093456,3,10
1222,145539729,14,6
1223,76690005,19,5
1224,662951013,20,8
1225,316196814,11,3
1226,877235161,32,9
1227,657215196,33,1
1228,93426778,32,3
1229,836302706,11,8
1230,97838400,9,7
1231,934908844,5,1
1232,490901442,32,6
1233,829264689,13,4
1234,691300264,21,2
1235,572282642,27,6
1236,92458205,16,5
1237,448819736,17,8
1238,418326520,12,12
1239,576264846,32,4
1240,300751218,26,10
1241,547958562,17,7
1242,89209174,36,3
1243,707755371,21,12
1244,860324350,2,3
1245,957095463,27,6
1246,298964831,14,12
1247,806095796,2,9
1248,143153809,5,8
1249,388199146,9,9
1250,25564194,24,8
1251,420414604,7,5
1252,241892334,29,10
1253,286635121,24,6
1254,165884949,34,5
1255,783079630,17,5
1256,667992167,43,12
1257,962057098,3,7
1258,985716399,43,3
1259,552908100,27,5
1260,430407958,5,7
1261,822607139,31,1
1262,360007857,30,1
1263,868454171,7,12
1264,884497781,28,8
1265,587765215,9,11
1266,190304918,41,12
1267,677262276,43,10
1268,909968073,37,1
1269,933904383,23,2
1270,813051769,5,1
1271,450367478,9,5
1272,284941806,39,3
1273,53497442,36,12
1274,364915091,36,6
1275,15574932,12,2
1276,486917168,33,1
1277,531289747,23,3
1278,171395346,9,2
1279,604218698,28,11
1280,233582744,21,12
1281,977626063,9,4
1282,725400188,23,5
1283,775184659,39,2
1284,22290234,35,12
1285,76479406,19,2
1286,814420082,2,6
1287,973893717,36,11
1288,826709735,4,4
1289,907154918,22,5
1290,212822752,3,10
1291,141920358,6,3
1292,114126223,26,10
1293,831906243,18,9
1294,942873991,33,3
1295,56866761,9,2
1296,649688457,12,9
1297,238728410,13,4
1298,860397354,1,4
1299,279135029,41,1
1300,392125211,28,4
1301,327901553,30,12
1302,878410529,23,5
1303,323994986,22,9
1304,335605537,27,6
1305,967840438,35,1
1306,438486751,29,7
1307,778180153,34,7
1308,371499195,23,6
1309,674264895,21,12
1310,321852544,11,3
1311,116369026,5,1
1312,737565859,3,2
1313,352044969,19,5
1314,527173606,26,11
1315,402448072,20,3
1316,229243373,35,6
1317,60081437,44,1
1318,522382604,32,3
1319,43171114,1,8
1320,412083396,10,11
1321,44626761,17,7
1322,287697309,34,4
1323,165033124,15,4
1324,417072341,39,9
1325,515350067,21,2
1326,826870653,1,10
1327,558836810,20,2
1328,591714147,25,7
1329,788118314,1,9
1330,613762523,16,10
1331,624898294,29,7
1332,391730995,6,2
1333,206750540,44,12
1334,826859600,4,10
1335,59696594,6,5
1336,150316828,26,4
1337,470288824,2,9
1338,100397708,10,9
1339,231171062,7,11
1340,739987945,17,12
1341,197796762,19,3
1342,372109112,43,2
1343,32468825,33,11
1344,41581905,1,4
1345,794192138,40,1
1346,402043312,32,6
1347,5053489,7,2
1348,25164458,38,10
1349,167022329,35,9
1350,386262346,14,6
1351,391722345,13,12
1352,804881849,31,5
1353,288637785,31,8
1354,624573103,24,2
1355,79889093,13,5
1356,865837020,4,5
1357,639608431,23,11
1358,948492513,27,6
1359,79708417,41,7
