id,VeiculoID,DataID,HorarioID,OrigemID,DestinoID,VagasDisponibilizadas,Distancia
162,15788,5168,908,25893,25624,3,3.6
163,16345,3797,70,23542,37043,4,2.62
164,13087,1866,308,2726,46287,2,5.82
165,20593,3553,1166,3007,15324,4,6.84
166,25592,1664,102,36827,5547,3,1.53
167,35196,1054,485,42168,43891,2,5.65
168,3415,2222,664,32199,8451,4,7.5
169,28228,2743,24,21072,27623,3,5.32
170,19571,231,981,1203,39060,3,5.09
171,6555,2591,1351,33907,34550,4,11.37
172,23525,5637,930,26294,28175,3,3.7
173,16955,2639,577,36436,1414,4,6.94
174,30252,35,523,20850,38139,3,14.71
175,21126,690,1038,22921,5254,3,4.63
176,29788,2925,807,43185,47717,2,6.27
177,32788,4753,1373,7195,46033,2,12.56
178,25116,517,330,43427,42479,3,12.19
179,25103,2456,734,18871,31900,4,7.93
180,3717,4641,507,22710,48679,3,3.83
181,48615,1070,220,10396,34060,3,3.33
182,11170,2522,593,15218,5638,4,3.52
183,7974,2993,1229,12239,9402,4,10.19
184,4690,5499,833,3546,12964,2,3.47
185,19807,5046,48,14621,31053,3,3.34
186,25299,3146,107,36431,46234,4,4.22
187,40540,1036,723,5770,25763,3,8.55
188,26387,2988,610,6424,38961,2,9.62
189,41452,3345,824,15910,16539,4,3.03
190,28726,1932,1167,24003,32728,3,10.81
191,1185,408,210,7455,14903,2,7.97
192,3545,700,1092,10333,14680,3,7.14
193,8127,4865,25,40356,12714,2,9.67
194,29267,3642,1307,16939,12690,3,10.96
195,23907,4896,323,38792,46971,3,11.31
196,22504,2391,224,26512,16919,3,5.29
197,31048,5047,658,6932,37637,4,5.82
198,29046,532,166,36114,499,3,10.88
199,48986,2380,318,13741,22716,3,6.26
200,7799,3272,1377,27256,18696,4,5.44
201,46767,813,413,37411,16658,3,5.59
202,20065,835,1363,7571,15342,4,8.82
203,28719,399,1070,21265,10983,4,8.66
204,3226,1352,984,2969,30389,2,4.94
205,36917,352,165,11084,49674,4,4.65
206,37199,5489,592,17651,34405,4,10.68
207,38235,110,1378,7147,42289,4,2.66
208,3664,3549,974,47306,22200,2,4.28
209,25292,10,319,4331,38992,4,5.7
210,30785,400,722,7743,34761,2,2.8
211,828,4722,1061,44994,26644,3,8.08
212,6207,4246,468,38620,12652,2,9.82
213,10693,5077,19,45617,29268,2,7.91
214,24782,1139,27,11085,2920,4,16.82
215,30182,5170,379,2693,1824,3,11.65
216,38217,2663,727,4847,16195,3,4.42
217,49753,1238,535,3622,29767,2,5.24
218,3182,4275,1119,12427,31,3,2.41
219,49925,453,1076,23485,3460,4,16.26
220,6066,4627,807,49004,23795,3,5.47
221,19162,4470,1195,35116,43482,3,9.18
222,49058,2238,1370,20935,19670,3,1.63
223,12442,4344,1278,5911,41576,4,8.7
224,7742,541,500,47965,35355,4,12.89
225,24289,5247,1392,42292,15226,3,4.8
226,46528,3867,631,14405,9167,2,6.59
227,33839,4228,516,27593,35136,2,9.21
228,11289,4896,659,18337,5948,3,6.55
229,40690,4298,1061,15125,14530,3,10.3
230,30697,5109,86,20256,46168,4,15.71
231,36312,4382,1421,3305,29676,3,5.83
232,32047,3550,71,31279,31698,4,21.76
233,31715,1523,419,36531,27199,4,4.41
234,42903,1722,366,20702,49808,4,6.27
235,15479,3220,33,28512,26107,3,9.45
236,26691,5710,203,34314,13677,4,7.0
237,3987,4762,634,28405,35743,2,10.13
238,26460,443,403,22384,459,4,11.64
239,37863,3681,276,17443,27419,3,4.69
240,46273,3313,765,1050,38689,3,4.14
241,17929,267,1065,47625,14785,4,10.35
242,9368,542,1344,26926,38125,3,3.61
243,31095,4752,799,32699,7922,3,10.8
244,9863,4869,1167,38712,48757,2,5.01
245,29440,5027,945,27903,39681,3,6.75
246,13646,27,365,20864,23789,4,8.67
247,29049,423,758,10068,33538,3,6.06
248,25438,4321,321,8139,16133,4,2.78
249,871,1474,662,27424,25184,4,4.23
250,38765,491,478,40273,21299,4,9.46
251,17824,5613,622,33588,12116,3,14.81
252,36923,1602,138,47724,25375,3,9.36
253,13509,1320,976,8825,46116,4,6.53
254,21401,3474,1277,9424,22704,2,9.07
255,12932,1537,699,13575,17331,4,11.15
256,22755,4954,1030,40161,47378,4,10.73
257,39540,3713,1437,42237,14277,3,9.78
258,44152,2134,879,31815,34802,4,13.73
259,12642,1687,816,28243,21519,3,9.45
260,38386,4525,197,2977,1206,3,13.9
261,19577,3417,288,18606,4786,4,3.32
262,12379,1928,709,25761,5021,4,11.46
263,11394,4129,188,11911,24844,2,5.09
264,362,5681,1253,27074,9594,4,7.44
265,15047,2596,1171,40989,4668,3,6.22
266,7169,2786,854,33021,8691,4,6.23
267,30291,300,76,12833,20673,4,6.99
268,28274,992,454,41530,26940,2,3.85
269,22014,3572,373,24582,46369,3,15.75
270,10533,4115,1204,31652,21657,2,1.62
271,8824,3327,59,48985,32133,4,5.62
272,44777,2462,1312,15991,22883,2,3.49
273,6287,4295,1035,11734,42903,2,3.13
274,20152,4508,766,4611,49635,2,5.4
275,30737,5559,346,22022,45353,2,6.47
276,47265,1504,1272,27705,44653,2,8.07
277,24059,2739,814,41946,5231,2,13.63
278,26954,4837,1020,48124,25774,3,9.79
279,22834,2929,949,36108,29307,4,2.46
280,38057,4199,723,3374,30151,4,9.58
281,30895,5079,1411,23365,6211,3,7.21
282,11371,3965,81,42896,30485,3,4.0
283,22258,1359,594,47822,29069,3,11.35
284,38101,3344,1036,49418,35062,3,4.06
285,25077,2501,843,25250,20773,4,6.11
286,37903,3896,609,45413,21555,2,16.08
287,37849,2769,1259,26837,36197,3,9.64
288,34699,1812,1171,8960,7717,4,4.07
289,4467,3274,604,1542,11020,2,9.68
290,17776,4927,817,29437,44348,3,0.27
291,33952,2721,1363,34710,25288,4,4.56
292,2846,2018,979,9674,20290,4,4.04
293,6299,5671,1277,32070,19918,2,15.01
294,2660,1398,585,39188,38143,2,4.4
295,38480,4244,631,6268,45093,2,5.81
296,5031,1265,1146,34898,22641,2,2.76
297,33662,987,1179,588,36327,4,6.21
298,28651,5557,379,2730,7198,4,6.24
299,1746,481,1298,37030,29867,3,5.25
300,33185,1607,1127,47439,19132,2,5.42
301,7307,3005,775,20841,5859,3,9.05
302,19739,1021,922,7767,20944,4,4.14
303,34575,347,1318,35680,12932,3,3.19
304,17023,3802,1007,3394,43713,3,11.23
305,23933,3306,738,11263,32625,4,5.89
306,9631,4007,915,16484,19397,3,8.79
307,23940,5674,1414,11213,35260,2,3.13
308,2248,3180,779,69,11665,3,5.7
309,7023,5083,579,49151,16982,4,2.94
310,32453,4628,1194,46574,16250,3,13.67
311,17672,469,715,36284,37595,4,11.86
312,22179,2332,154,5160,45074,3,5.52
313,2239,3057,860,11455,33559,3,17.36
314,28591,5558,31,45855,30141,2,7.71
315,31712,4805,1282,45268,43302,3,3.67
316,45646,2108,864,20252,30717,4,3.79
317,30163,4173,789,8772,5963,3,7.5
318,42110,2598,373,27339,19159,4,2.59
319,18490,4190,1077,40418,11752,2,9.24
320,30310,373,1244,26231,2742,4,7.97
321,12873,2549,190,44466,49072,4,9.49
322,31168,1291,668,6195,21055,4,2.07
323,36599,3694,889,32636,8814,3,12.58
324,25578,1541,9,14105,30244,3,12.1
325,21382,1169,658,28356,39884,4,7.35
326,35794,4711,536,45752,40395,4,5.95
327,22673,3531,440,32201,24778,3,7.63
328,15364,3415,1287,43194,35404,2,10.99
329,12152,1473,1104,42960,26805,2,3.26
330,17210,4375,1194,24945,439,3,4.14
331,37691,4612,15,10704,19159,3,11.72
332,4522,4639,710,9807,31637,4,4.42
333,11294,1730,826,41677,10157,3,2.88
334,16844,1465,1169,10359,12874,2,4.23
335,169,665,1270,46086,33535,4,9.49
336,18629,3675,977,48773,8453,2,4.1
337,10550,1222,576,49786,27544,4,6.36
338,2648,3983,315,12976,47579,4,5.32
339,5627,462,123,40954,42463,3,7.68
340,20144,2805,94,29930,35996,4,6.84
341,17145,3825,1286,35824,40000,2,0.9
342,49436,4435,230,34936,36270,2,10.8
343,21363,1771,943,48925,5620,3,1.37
344,46200,331,1172,387,16883,3,3.31
345,5196,2009,628,29835,45440,3,8.41
346,10058,4186,98,26794,40888,2,2.15
347,3953,604,114,39522,31390,3,6.12
348,31369,5131,796,2693,27988,2,3.63
349,31920,1855,824,34909,10298,3,5.58
350,9798,818,676,16965,1616,2,6.48
351,16476,5505,660,31235,17560,3,8.22
352,9472,1256,1040,17494,353,2,6.11
353,11073,3355,363,16524,8432,3,7.98
354,8490,3493,794,15691,15758,3,12.19
355,46951,723,341,21669,36101,2,5.21
356,15656,2622,803,2981,7678,2,10.02
357,42571,4077,1040,5562,18895,2,11.31
358,30746,4279,1103,38964,22862,2,3.71
359,27270,445,119,36850,17924,4,0.45
360,26367,4652,994,27133,42209,2,7.68
361,18195,3016,1437,33890,7250,4,6.58
362,5159,3075,960,34729,22198,2,6.46
363,24339,5131,759,1227,22053,2,3.69
364,1722,4586,1433,47570,45395,2,7.11
365,24414,5253,524,34978,20800,2,2.14
366,7291,2634,291,11547,848,3,4.23
367,22759,5426,247,46754,27231,4,5.31
368,31541,986,244,7305,34737,2,13.47
369,39356,3495,230,38519,47211,2,7.21
370,16323,1054,1431,38979,1272,3,6.47
371,7671,5447,1410,4795,24432,2,12.13
372,35874,578,904,25067,15682,2,4.07
373,13655,1407,560,30974,48048,2,7.14
374,15952,2775,847,35365,41472,3,1.79
375,4972,3770,215,29101,6787,4,12.31
376,30709,3366,533,47481,20060,4,7.54
377,47503,127,275,33820,12310,2,11.83
378,8757,1700,446,24930,17549,3,8.88
379,30759,3142,1356,27236,33078,4,9.9
380,10940,3581,1083,40961,41644,4,7.73
381,7515,2167,1084,42425,5378,4,10.67
382,34796,3546,778,35745,46436,2,3.05
383,36342,980,824,28345,5869,4,4.72
384,38553,3420,1417,7896,22859,3,11.64
385,30580,4266,678,33368,21242,2,6.75
386,610,1649,1297,2233,29124,2,6.88
387,38538,4222,1437,32433,9326,3,3.04
388,45708,1252,1183,15376,15299,2,12.62
389,39104,5289,8,272,36635,3,4.59
390,2554,5596,902,29652,46074,2,11.6
391,21939,2741,1265,13586,26407,4,10.05
392,25329,5069,696,14469,7162,4,1.33
393,3402,1290,155,18819,38094,3,7.89
394,7372,5229,940,4077,14816,4,7.62
395,31258,2921,1204,12580,19423,3,6.61
396,8196,1717,112,3591,20260,2,2.4
397,47200,3327,403,36510,46981,2,12.98
398,41202,5637,900,46981,3887,4,5.09
399,29456,1765,11,3761,37836,3,2.25
400,6320,3781,930,7782,37323,2,16.28
401,35830,1314,197,28411,17392,2,13.31
402,26,255,16,24773,23456,2,4.77
403,30044,2954,909,39599,6719,3,6.13
404,26492,2542,77,43199,11296,2,4.53
405,31850,4197,386,37972,41770,2,6.09
406,32345,1341,607,29341,17045,3,5.54
407,32247,1928,526,23012,733,2,15.25
408,5031,1162,1392,18084,16079,2,12.69
409,16967,3043,645,33172,25235,3,3.11
410,49844,2642,1305,15146,43155,4,14.2
411,48428,5471,103,40452,5334,3,3.62
412,21640,5364,631,15728,693,2,9.95
413,48143,3958,10,41342,30481,2,13.66
414,15836,4850,173,9731,39340,4,2.76
415,35112,2018,361,33085,14865,4,8.59
416,23346,904,945,38398,28366,3,8.84
417,36785,3335,190,497,20689,2,7.52
418,39301,2936,1187,14012,19221,4,1.79
419,12325,4117,727,22766,16053,4,8.78
420,39646,1298,191,40576,19296,3,3.46
421,39069,247,469,37517,7627,4,8.53
422,18800,5678,320,16353,41280,4,8.05
423,42440,4483,341,19814,29534,3,7.55
424,14162,2937,736,45307,43606,2,5.61
425,903,2488,1283,17658,48216,4,11.18
426,39068,3913,267,3925,38079,4,1.55
427,41439,4775,758,44655,31212,4,3.93
428,15213,3692,496,12706,1808,3,3.82
429,14305,3130,59,47876,25688,2,4.86
430,22470,527,180,44782,6865,4,4.58
431,26880,263,588,6834,46148,2,10.8
432,43165,4041,326,6676,1769,4,19.55
433,30515,1061,771,28775,25559,2,10.24
434,49533,483,421,16094,23858,4,8.44
435,18303,4459,64,20376,19764,2,14.88
436,28296,2989,794,24644,42455,3,13.63
437,39401,4679,1397,28202,28889,2,3.61
438,16208,470,823,39421,39473,4,6.84
439,29487,860,140,30807,7759,4,14.32
440,16608,2639,1041,21979,43276,4,10.14
441,16670,2448,257,39709,48430,4,0.34
442,14379,4398,106,23931,48781,2,1.61
443,42824,3760,1155,47581,42168,4,7.04
444,30012,3281,847,44924,29903,3,4.42
445,48215,2537,966,5008,9134,2,1.67
446,22811,50,1038,27199,41203,4,4.38
447,18639,1501,1185,48477,19186,2,5.69
448,8125,3994,1399,19285,49032,3,6.31
449,25681,1896,237,14055,18663,2,7.43
450,27811,3449,1434,9694,24140,2,13.93
451,36964,5367,1053,5193,8766,3,10.26
452,36271,1583,107,19116,6272,3,3.33
453,36358,5557,1323,30358,23599,3,3.98
454,7302,1035,1031,32670,17309,4,14.4
455,6770,3182,1085,14863,7303,2,7.59
456,49899,780,1201,15557,18132,3,8.64
457,7229,3804,1196,11044,47922,4,5.62
458,3074,3964,692,47982,47182,4,8.37
459,38650,3048,1330,32887,20915,2,14.51
460,12711,3155,716,46783,20461,3,5.54
461,42815,952,182,32219,22253,2,12.23
462,35864,5441,72,19827,28127,2,6.04
463,35455,5251,88,31066,30919,2,8.11
464,14917,3613,1060,45243,26003,4,9.21
465,36677,3686,722,16159,48761,4,9.49
466,46087,5678,129,14274,16758,2,1.0
467,30902,326,891,42759,13017,2,7.46
468,49973,5057,164,38210,12772,2,3.22
469,382,3595,944,48499,44833,3,1.96
470,20314,2442,769,29779,9636,3,4.09
471,1929,4057,433,40146,44437,2,9.08
472,13941,1854,1278,3454,5308,3,15.22
473,6259,396,659,46081,29821,3,11.17
474,39194,5397,1431,27271,908,3,2.14
475,10369,655,988,4264,39959,4,9.81
476,17939,3818,1347,45372,40678,4,6.04
477,43605,2418,274,43452,45015,3,8.64
478,29205,2290,856,3208,5328,2,7.34
479,41957,4857,345,6731,30935,2,10.39
480,9015,1589,827,19375,27634,3,7.98
481,6995,5461,437,31648,44814,3,14.96
482,3859,3518,2,24950,6754,2,7.32
483,15659,964,229,3019,23975,2,12.52
484,13503,4662,1117,19568,39648,2,4.01
485,49472,3891,858,49694,13062,4,1.38
486,26843,4008,1334,15239,35756,4,3.08
487,17003,881,313,4810,26597,3,6.54
488,35787,5645,708,36796,45161,2,1.9
489,16582,5008,357,14425,17340,3,10.16
490,1440,4849,127,49036,28319,2,6.71
491,48127,3132,121,5657,12159,4,2.97
492,5034,3610,745,26442,35941,3,12.91
493,13193,1964,599,21728,35813,4,9.23
494,1423,1171,414,14093,22453,3,6.66
495,33601,4257,1274,24832,6723,3,18.66
496,35972,5608,1430,47802,43388,4,7.02
497,45094,2839,1328,35867,28359,2,5.69
498,3536,5241,1438,11021,44778,4,9.63
499,22645,3217,93,5586,7807,4,4.09
500,12313,2980,1154,20876,20139,4,10.19
501,43415,5362,1315,5367,44079,4,3.75
502,15145,539,81,6742,20996,3,14.29
503,46246,1403,1356,46336,37558,3,5.65
504,7442,2025,1157,22830,33818,3,11.12
505,27519,1088,764,19044,21840,3,2.79
506,33901,1223,799,46223,23267,4,5.97
507,38188,2644,303,46840,9022,4,15.85
508,33895,1702,270,46695,22578,3,5.62
509,20511,1236,127,9088,8783,3,1.61
510,29745,4910,780,47374,22152,3,13.36
511,15088,4425,226,16426,38370,4,11.21
512,35001,802,1211,33345,17550,4,8.53
513,1054,4823,212,12011,39370,3,8.89
514,40734,5238,54,10048,9926,3,3.15
515,6107,5526,766,2280,4144,3,12.11
516,32732,2827,546,32535,9061,3,6.75
517,4215,1969,8,6577,39100,4,7.56
518,16823,2708,752,34393,4200,2,16.39
519,4583,3337,712,30834,28147,2,7.76
520,35743,2729,126,37103,20106,2,1.75
521,24009,2978,1081,28794,17025,4,6.03
522,34630,417,91,20771,39091,4,3.76
523,41127,4326,522,32431,42909,4,0.57
524,13009,4467,1095,27267,29268,3,5.72
525,43394,1604,70,24958,23907,2,1.62
526,36486,1192,54,2866,5863,3,11.35
527,4265,409,772,36513,32711,3,15.29
528,26032,2868,314,21644,1189,4,13.27
529,26978,2637,169,34998,461,2,0.98
530,44321,3994,1190,42495,43298,2,6.34
531,37591,3980,559,29852,4989,2,2.5
532,7171,2283,731,47739,21570,2,1.93
533,19670,5300,62,5582,11015,2,8.28
534,38207,4713,942,10571,13849,3,5.51
535,35684,1213,949,31263,26043,4,6.36
536,16575,2577,360,741,23802,4,5.76
537,2950,2083,581,6977,33458,4,7.96
538,17112,3754,361,21440,14274,2,12.14
539,25766,2553,22,3579,44910,4,7.05
540,7122,4070,675,44189,21291,4,9.52
541,9556,4249,99,11277,10671,3,2.53
542,37495,3884,74,28025,2848,4,7.84
543,250,5335,1108,12351,11252,3,4.87
544,46730,3780,426,28178,33916,4,4.55
545,32924,240,1184,17424,14721,3,6.56
546,42946,474,965,44103,36161,4,9.95
547,49016,3936,516,17663,7869,4,12.31
548,34740,2658,320,41650,29659,2,2.71
549,11295,2226,1191,38477,2222,4,7.31
550,8272,2719,698,19313,46016,4,5.95
551,22227,4011,840,12062,34838,4,6.0
552,33824,1841,337,32662,49677,4,15.62
553,42805,3851,862,10000,17839,2,7.65
554,28518,3753,586,29610,25405,4,6.45
555,9170,2780,429,30046,4761,4,8.54
556,14820,3786,1189,44848,4697,3,5.66
557,41894,3092,1319,29515,24666,4,8.73
558,45449,2837,502,33285,43107,4,4.7
559,29562,1091,438,35813,25824,4,7.27
560,32724,4434,1144,9863,45163,2,12.85
561,8410,1693,199,24934,45453,4,5.23
562,41045,3842,47,49452,21187,2,14.01
563,31246,122,1202,39487,39199,2,2.08
564,45310,4574,999,38420,5636,2,4.97
565,19380,212,406,32907,31895,4,4.21
566,44127,1183,1054,14360,36053,3,12.53
567,10604,2380,1239,23142,1186,4,12.08
568,38592,1523,569,3990,29581,4,5.7
569,5569,4300,1176,24190,39929,3,14.07
570,14681,2231,332,12757,23136,2,18.95
571,37635,4436,726,39527,27563,2,6.47
572,36530,4057,225,36,47905,2,5.97
573,5710,2475,951,35160,13898,2,8.9
574,11350,1090,1023,14785,44149,3,10.36
575,14134,1397,650,6386,37172,3,11.78
576,45515,4143,620,46579,15299,3,7.47
577,44322,865,1425,47916,39781,3,4.92
578,28164,7,8,681,30470,4,12.33
579,34673,2335,1113,33699,9514,2,5.44
580,27504,1783,787,1872,41543,3,12.72
581,11937,3249,920,21512,29333,3,12.68
582,32562,1983,217,47071,16619,2,8.2
583,28607,4814,439,35626,49842,4,10.55
584,26852,2883,197,47817,7444,4,12.38
585,11836,1790,63,44602,19240,2,13.02
586,18896,2089,625,15058,13829,4,11.92
587,3214,5633,642,4388,24326,4,9.8
588,9427,2470,1324,34556,21931,4,1.5
589,3171,5552,640,13354,42493,2,7.35
590,49715,3287,196,4288,37184,3,22.5
591,2717,4499,954,45773,15083,2,11.59
592,1612,3332,1413,25447,30205,4,0.65
593,24772,516,452,31473,6820,3,18.96
594,1960,4346,922,22221,46587,3,6.51
595,23769,873,587,15353,8999,2,2.38
596,18366,105,129,35046,3222,3,4.09
597,13709,1806,1095,48758,37791,2,3.59
598,4383,3484,1211,44015,4216,2,3.01
599,23827,4526,858,46669,11896,3,10.17
600,6510,810,1413,37816,19330,4,9.36
601,29634,2550,418,46441,9901,4,4.83
602,18891,1269,684,37334,11008,2,3.25
603,49291,2411,844,24876,5840,3,23.18
604,5534,1471,1178,3549,11277,4,5.95
605,43244,4242,878,32698,31217,3,5.73
606,33217,4257,666,47209,15857,3,8.91
607,38430,1369,1207,8892,17570,2,2.48
608,22965,3257,708,39964,39188,4,7.56
609,24220,2358,388,9073,31191,2,8.32
610,38078,2268,710,42484,20466,4,5.82
611,18734,3626,820,37897,31931,3,8.83
612,3001,4568,44,43544,25179,4,4.08
613,41389,4673,1138,10279,19945,3,10.86
614,40139,2365,1123,32556,38811,3,3.78
615,3982,29,1428,21979,36026,4,14.88
616,43602,4169,951,47281,42450,2,9.74
617,37176,4101,1026,46851,8794,3,5.68
618,23087,2224,1134,35491,6929,4,12.65
619,1195,2697,497,26895,17636,3,8.52
620,5039,537,1262,14430,16287,2,13.25
621,41685,3306,953,18935,22745,3,3.25
622,49068,1932,162,27137,4006,4,4.34
623,4656,1733,986,29971,19378,3,11.3
624,12514,2885,1253,41572,24159,4,6.5
625,47750,1379,105,4855,44750,3,7.66
626,28534,5336,1340,35998,4544,2,5.29
627,37719,5187,1288,47661,40522,2,6.59
628,44516,280,341,6889,47755,4,8.07
629,15766,4857,1152,14293,6105,4,9.88
