DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISÃO,SUBDIVISÕES,MUNICÍPIO,ESTADO
50750121Travessa Guaraní,50750121,Travessa Guaraní,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750130Rua Maguari,50750130,Rua Maguari,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750140Rua Juvanda,50750140,Rua Juvanda,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750150Rua Potiraguá,50750150,Rua Potiraguá,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750160Rua Gurjaú,50750160,Rua Gurjaú,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750170Rua Pinaré,50750170,Rua Pinaré,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750180Rua Cotunguba,50750180,Rua Cotunguba,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750190Rua Tinhorão,50750190,Rua Tinhorão,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750200Rua São Lucas,50750200,Rua São Lucas,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750210Rua Bugre,50750210,Rua Bugre,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750220Rua Felipe Moura,50750220,Rua Felipe Moura,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750360Estrada dos Remédios,50750360,Estrada dos Remédios,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750590Rua Juriti,50750590,Rua Juriti,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750620Avenida Central,50750620,Avenida Central,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750635Travessa Juriti,50750635,Travessa Juriti,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760002Rua Capitão Adolfo Táquis,50760002,Rua Capitão Adolfo Táquis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760007Rua Andaluza,50760007,Rua Andaluza,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760008Rua Nogueira de Melo,50760008,Rua Nogueira de Melo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760009Rua Eudoro Pires,50760009,Rua Eudoro Pires,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507602553ª Travessa Carlópolis,50760255,3ª Travessa Carlópolis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760260Travessa Carlópolis,50760260,Travessa Carlópolis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507602656ª Travessa Carlópolis,50760265,6ª Travessa Carlópolis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507602705ª Travessa Carlópolis,50760270,5ª Travessa Carlópolis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760720Rua Josué Pereira,50760720,Rua Josué Pereira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760730Rua Jurema,50760730,Rua Jurema,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760735Rua Novo Jardim,50760735,Rua Novo Jardim,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760740Rua Realengo,50760740,Rua Realengo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760750Rua Lídia Guimarães,50760750,Rua Lídia Guimarães,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760790Rua Doutor Alberto Moreira,50760790,Rua Doutor Alberto Moreira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770000Rua da Paz,50770000,Rua da Paz,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770011Avenida RPA 06 | Sul Governador Cid Sampaio,50770011,Avenida RPA 06 | Sul Governador Cid Sampaio,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770020Rua Francisco Silveira,50770020,Rua Francisco Silveira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770050Rua da Cajazeira,50770050,Rua da Cajazeira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770060Rua Guiratinga,50770060,Rua Guiratinga,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770070Rua Antônio Macário,50770070,Rua Antônio Macário,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770080Rua Nicolau Pereira,50770080,Rua Nicolau Pereira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770090Rua da Diligência,50770090,Rua da Diligência,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770100Praça da Paz,50770100,Praça da Paz,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770110Rua Motocolombó,50770110,Rua Motocolombó,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770120Estrada dos Remédios,50770120,Estrada dos Remédios,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770130Rua Acre,50770130,Rua Acre,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770140Rua General Christóvam Colombo de Souza,50770140,Rua General Christóvam Colombo de Souza,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770150Rua João Carlos Guimarães,50770150,Rua João Carlos Guimarães,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770170Rua Bom Gosto,50770170,Rua Bom Gosto,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770171Rua Buenópolis,50770171,Rua Buenópolis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770190Rua Goitá,50770190,Rua Goitá,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770200Rua Joaquim de Vasconcelos Pereira,50770200,Rua Joaquim de Vasconcelos Pereira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770220Rua Sertãozinho,50770220,Rua Sertãozinho,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770230Rua Jacira,50770230,Rua Jacira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770240Rua Ribeiro César,50770240,Rua Ribeiro César,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770241Praça do Paraíso,50770241,Praça do Paraíso,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770250Rua Augusto Calheiros,50770250,Rua Augusto Calheiros,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770260Rua Quitério Inácio de Melo,50770260,Rua Quitério Inácio de Melo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770270Rua Santos Araújo,50770270,Rua Santos Araújo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770280Rua Maria Pereira de Lucena,50770280,Rua Maria Pereira de Lucena,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770290Rua Professor Augusto Wanderley Filho,50770290,Rua Professor Augusto Wanderley Filho,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770300Rua Francisco Uchôa,50770300,Rua Francisco Uchôa,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770310Rua Cinco de Novembro,50770310,Rua Cinco de Novembro,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770320Rua do Rosário,50770320,Rua do Rosário,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770321Travessa do Rosário,50770321,Travessa do Rosário,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770325Rua Lagedão,50770325,Rua Lagedão,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770330Rua Lídia da Cruz Cavalcanti,50770330,Rua Lídia da Cruz Cavalcanti,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770340Rua General Carlos Lira,50770340,Rua General Carlos Lira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770350Rua Hercílio de Rezende,50770350,Rua Hercílio de Rezende,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770360Rua Doutor Carlos Alberto de Menezes,50770360,Rua Doutor Carlos Alberto de Menezes,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770380Rua Emília Torreão,50770380,Rua Emília Torreão,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770390Beco do Sabino,50770390,Beco do Sabino,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770400Rua Londrina,50770400,Rua Londrina,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770410Rua do Despacho,50770410,Rua do Despacho,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770430Rua ABC,50770430,Rua ABC,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770431Rua do ABC,50770431,Rua do ABC,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770440Rua São Bento do RPA 06 | Sul,50770440,Rua São Bento do RPA 06 | Sul,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770450Rua Porto União,50770450,Rua Porto União,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770460Rua Bandeirante,50770460,Rua Bandeirante,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770470Rua Aprígio Alves,50770470,Rua Aprígio Alves,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770480Rua Gardênia,50770480,Rua Gardênia,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770490Rua Olímpio Chacon,50770490,Rua Olímpio Chacon,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770500Rua Francisco Porfírio,50770500,Rua Francisco Porfírio,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770520Rua Benjamim Torreão,50770520,Rua Benjamim Torreão,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507705222ª Travessa Benjamim Torreão,50770522,2ª Travessa Benjamim Torreão,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770540Rua Napoleão Teixeira de Macêdo,50770540,Rua Napoleão Teixeira de Macêdo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770550Rua Vinte e Um de Dezembro,50770550,Rua Vinte e Um de Dezembro,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770560Rua São Lourenço,50770560,Rua São Lourenço,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770580Rua Buritama,50770580,Rua Buritama,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770590Rua Santa Vitória,50770590,Rua Santa Vitória,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770600Rua Santa Helena,50770600,Rua Santa Helena,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770601Travessa Santa Helena,50770601,Travessa Santa Helena,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770610Rua Lavínia,50770610,Rua Lavínia,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770620Rua Campo Largo,50770620,Rua Campo Largo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770630Rua Aparecida,50770630,Rua Aparecida,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770640Rua Mariápolis,50770640,Rua Mariápolis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770650Rua Turiaçu,50770650,Rua Turiaçu,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770651Largo da Vila São Miguel,50770651,Largo da Vila São Miguel,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770660Rua Santo Cristo,50770660,Rua Santo Cristo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770670Rua Djalma Honório,50770670,Rua Djalma Honório,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770680Rua Carvalho de Mendonça,50770680,Rua Carvalho de Mendonça,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770691Paralela Bezerra da Palma,50770691,Paralela Bezerra da Palma,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770710Rua José Juvêncio,50770710,Rua José Juvêncio,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770720Rua São Miguel,50770720,Rua São Miguel,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770730Rua Odilon Tucuman,50770730,Rua Odilon Tucuman,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770740Avenida Central,50770740,Avenida Central,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770741Rua Arrozal,50770741,Rua Arrozal,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770765Rua Cerro Negro,50770765,Rua Cerro Negro,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770766Travessa Cerro Negro,50770766,Travessa Cerro Negro,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770770Rua Mirassol,50770770,Rua Mirassol,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770780Rua Onze de Junho,50770780,Rua Onze de Junho,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770790Rua Rubiácea,50770790,Rua Rubiácea,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770830Praça Venâncio Rezende,50770830,Praça Venâncio Rezende,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770831Rua Funchal,50770831,Rua Funchal,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770840Rua Guarús,50770840,Rua Guarús,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770902Estrada dos Remédios,50770902,Estrada dos Remédios,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770970Rua São Miguel 67,50770970,Rua São Miguel 67,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770971Rua São Miguel 516,50770971,Rua São Miguel 516,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820000Rua Vinte e Um de Abril,50820000,Rua Vinte e Um de Abril,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820400Rua Feliciano de Mello,50820400,Rua Feliciano de Mello,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
508204011ª Travessa Feliciano de Mello,50820401,1ª Travessa Feliciano de Mello,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
508204022ª Travessa Feliciano de Mello,50820402,2ª Travessa Feliciano de Mello,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820410Rua Doutor João Figueira,50820410,Rua Doutor João Figueira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820411Travessa Doutor João Figueira,50820411,Travessa Doutor João Figueira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820420Rua José Santos Araquan,50820420,Rua José Santos Araquan,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820430Rua Alexandre Selva,50820430,Rua Alexandre Selva,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820440Rua Bezerra da Palma,50820440,Rua Bezerra da Palma,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820441Travessa Bezerra da Palma,50820441,Travessa Bezerra da Palma,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
508204422ª Travessa Bezerra da Palma,50820442,2ª Travessa Bezerra da Palma,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820450Rua Amaro Duarte,50820450,Rua Amaro Duarte,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820460Rua Antônio Justino,50820460,Rua Antônio Justino,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820470Rua Manuel Padilha,50820470,Rua Manuel Padilha,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820480Rua Conselheiro Furtado,50820480,Rua Conselheiro Furtado,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820490Rua Visconde de Inhauma,50820490,Rua Visconde de Inhauma,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820495Travessa Central,50820495,Travessa Central,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820500Avenida Central,50820500,Avenida Central,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820510Rua Visconde de Pelotas,50820510,Rua Visconde de Pelotas,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820520Rua Tamarindo,50820520,Rua Tamarindo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820530Rua Esperança,50820530,Rua Esperança,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820540Rua Manuel Batista de Azevedo,50820540,Rua Manuel Batista de Azevedo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820550Rua UrRPA 06 | Sulino Pinto de Carvalho,50820550,Rua UrRPA 06 | Sulino Pinto de Carvalho,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820560Rua dos Caboclnhos,50820560,Rua dos Caboclnhos,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820570Rua Alfredo Maia,50820570,Rua Alfredo Maia,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820580Rua Cosme Viana,50820580,Rua Cosme Viana,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820590Rua Doutor Adelino,50820590,Rua Doutor Adelino,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820600Rua José Miranda,50820600,Rua José Miranda,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820610Rua Cabedelo,50820610,Rua Cabedelo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820620Rua Pirajá,50820620,Rua Pirajá,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820630Rua Albatroz,50820630,Rua Albatroz,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820640Rua Betim,50820640,Rua Betim,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820641Travessa Betim,50820641,Travessa Betim,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820650Rua João Barreto de Acioly Lins,50820650,Rua João Barreto de Acioly Lins,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820660Rua Aquidauana,50820660,Rua Aquidauana,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820690Rua Itatiuba,50820690,Rua Itatiuba,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820710Rua Abaré,50820710,Rua Abaré,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820730Rua Vereador Francisco de Paula Santana - Chico da Manola,50820730,Rua Vereador Francisco de Paula Santana - Chico da Manola,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830090Rua Fazenda Nova,50830090,Rua Fazenda Nova,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830110Rua Brejo da Madre de Deus,50830110,Rua Brejo da Madre de Deus,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830120Rua Antônio Uchôa,50830120,Rua Antônio Uchôa,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830130Rua Goiânia,50830130,Rua Goiânia,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830140Rua Guanacés,50830140,Rua Guanacés,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830150Rua Cosme Viana,50830150,Rua Cosme Viana,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830151Travessa Cosme Viana,50830151,Travessa Cosme Viana,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830160Rua Castanhal,50830160,Rua Castanhal,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830170Rua Gurupé,50830170,Rua Gurupé,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830180Travessa Gurupé,50830180,Travessa Gurupé,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830190Rua Tebas,50830190,Rua Tebas,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830200Rua José da Bomba,50830200,Rua José da Bomba,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830210Rua Deus te Guarde,50830210,Rua Deus te Guarde,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830270Rua Pistóia,50830270,Rua Pistóia,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
